Datetime,Open,High,Low,Close,Volume
3/5/2024,1,2,3,4,5
3/6/2024,1,2,3,4,5
3/7/2024,1,2,3,4,5
3/8/2024,1,2,3,4,5
3/9/2024,1,2,3,4,5
3/10/2024,1,2,3,4,5
3/11/2024,1,2,3,4,5
3/12/2024,1,2,3,4,5
3/13/2024,1,2,3,4,5
3/14/2024,1,2,3,4,5
3/15/2024,1,2,3,4,5
3/16/2024,1,2,3,4,5
3/17/2024,1,2,3,4,5
3/18/2024,1,2,3,4,5
3/19/2024,1,2,3,4,5
3/20/2024,1,2,3,4,5
3/21/2024,1,2,3,4,5
3/22/2024,1,2,3,4,5
3/23/2024,1,2,3,4,5
3/24/2024,1,2,3,4,5
3/25/2024,1,2,3,4,5
3/26/2024,1,2,3,4,5
3/27/2024,1,2,3,4,5
3/28/2024,1,2,3,4,5
3/29/2024,1,2,3,4,5
3/30/2024,1,2,3,4,5
3/31/2024,1,2,3,4,5
4/1/2024,1,2,3,4,5
4/2/2024,1,2,3,4,5
4/3/2024,1,2,3,4,5
4/4/2024,1,2,3,4,5
4/5/2024,1,2,3,4,5
4/6/2024,1,2,3,4,5
4/7/2024,1,2,3,4,5
4/8/2024,1,2,3,4,5
4/9/2024,1,2,3,4,5
4/10/2024,1,2,3,4,5
4/11/2024,1,2,3,4,5
4/12/2024,1,2,3,4,5
4/13/2024,1,2,3,4,5
4/14/2024,1,2,3,4,5
4/15/2024,1,2,3,4,5
4/16/2024,1,2,3,4,5
4/17/2024,1,2,3,4,5
4/18/2024,1,2,3,4,5
4/19/2024,1,2,3,4,5
4/20/2024,1,2,3,4,5
4/21/2024,1,2,3,4,5
4/22/2024,1,2,3,4,5
